timestamp,hour,total_verified_MW,solarchain_liquidity_MW,baseline_liquidity_MW,slippage_solarchain_pct,slippage_baseline_pct
2026-05-01T00:00:00+08:00,0,0.0,0.018,0.008,2.8571,8.6111
2026-05-01T01:00:00+08:00,1,0.0,0.018,0.008,2.8571,8.6111
2026-05-01T02:00:00+08:00,2,0.0,0.018,0.008,2.8571,8.6111
2026-05-01T03:00:00+08:00,3,0.0,0.018,0.008,2.8571,8.6111
2026-05-01T04:00:00+08:00,4,0.0,0.018,0.008,2.8571,8.6111
2026-05-01T05:00:00+08:00,5,0.0,0.018,0.008,2.8571,8.6111
2026-05-01T06:00:00+08:00,6,0.004729,0.02235,0.010885,2.6726,7.9723
2026-05-01T07:00:00+08:00,7,0.031957,0.047401,0.027494,1.948,5.5862
2026-05-01T08:00:00+08:00,8,0.084019,0.095298,0.059252,1.283,3.5529
2026-05-01T09:00:00+08:00,9,0.161039,0.166156,0.106234,0.8525,2.3094
2026-05-01T10:00:00+08:00,10,0.204751,0.206371,0.132898,0.7161,1.9267
2026-05-01T11:00:00+08:00,11,0.259662,0.256889,0.166394,0.5962,1.5947
2026-05-01T12:00:00+08:00,12,0.274561,0.270596,0.175482,0.5703,1.5235
2026-05-01T13:00:00+08:00,13,0.271561,0.267836,0.173652,0.5754,1.5373
2026-05-01T14:00:00+08:00,14,0.252218,0.250041,0.161853,0.6101,1.6328
2026-05-01T15:00:00+08:00,15,0.207092,0.208525,0.134326,0.71,1.9097
2026-05-01T16:00:00+08:00,16,0.155213,0.160796,0.10268,0.8747,2.3722
2026-05-01T17:00:00+08:00,17,0.087943,0.098907,0.061645,1.2508,3.4581
2026-05-01T18:00:00+08:00,18,0.030553,0.046109,0.026638,1.9757,5.6737
2026-05-01T19:00:00+08:00,19,0.002827,0.020601,0.009725,2.7439,8.2175
2026-05-01T20:00:00+08:00,20,0.0,0.018,0.008,2.8571,8.6111
2026-05-01T21:00:00+08:00,21,0.0,0.018,0.008,2.8571,8.6111
2026-05-01T22:00:00+08:00,22,0.0,0.018,0.008,2.8571,8.6111
2026-05-01T23:00:00+08:00,23,0.0,0.018,0.008,2.8571,8.6111
